algorithm,percentage,distribution,parameters,mean_delay,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
IM_0.2,0.9,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9940489135465344,0.6221078124036057,0.852528066046875,0.7279308075023047,0.4772674133734176,0.8980580516119663,0.9421897381896183,0.8620074757381434,0.8889986960658568,0.7284599989349336,0.15150095437425948,0.8647612802876817
ALPHA,0.1,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.5266330549457382,0.33586745632930537,0.8758879629019287,0.7684710483000878,0.4744861698749079,0.8758879629019287,0.5266330549457382,0.11664622796040125,0.8758879629019287
ALPHA,0.2,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.47720672287374616,0.4199883671936112,0.8758879629019287,0.7683894232475418,0.5120218016180667,0.8758879629019287,0.47720672287374616,0.07057685989380402,0.8758879629019287
ALPHA,0.3,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.4776585499500268,0.36819789048019624,0.8758879629019287,0.7683175226786686,0.487570260376166,0.8758879629019287,0.4776585499500268,0.0949182889870841,0.8758879629019287
ALPHA,0.4,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.4772030548704017,0.41983437685569114,0.8758879629019287,0.7682563639478195,0.5102491389772137,0.8758879629019287,0.4772030548704017,0.07057685989380402,0.8758879629019287
ALPHA,0.5,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.47719926096540166,0.4693425994112542,0.8758879629019287,0.7681222828536494,0.5122879504924137,0.8758879629019287,0.47719926096540166,0.04178803582024926,0.8758879629019287
ALPHA,0.6,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.47725962294379254,0.4094646966596205,0.8758879629019287,0.76802595999373,0.4780641775700387,0.8758879629019287,0.47725962294379254,0.09768752041801532,0.8758879629019287
ALPHA,0.7,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.4771356609746518,0.49950357867168527,0.8758879629019287,0.7679866610067219,0.5181437475548885,0.8758879629019287,0.4771356609746518,0.043123880800203906,0.8758879629019287
ALPHA,0.8,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.47725962294379254,0.41040901902045823,0.8758879629019287,0.7679084707091243,0.4807099790390823,0.8758879629019287,0.47725962294379254,0.09768752041801532,0.8758879629019287
ALPHA,0.9,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.7685913387884491,0.31116637260462143,0.8758879629019287,0.477203432687681,0.4556299820776436,0.8758879629019287,0.7678360266041347,0.5166796465223562,0.8758879629019287,0.477203432687681,0.07057685989380402,0.8758879629019287
ILP_0.8,0.1,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9710335276823121,0.9977137712969112,0.8879578929519232,0.9717639365127445,0.9977137712969112,0.8879578919475335,0.9839598822199872,0.9905726285347566,0.8879579270906611
ILP_0.8,0.2,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9627948259979217,0.9978374551793191,0.8879578507523337,0.9611677316233236,0.9978374551793191,0.8879578447212738,0.9842362353840641,0.9905726285347566,0.8879579270906611
ILP_0.8,0.3,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9809654832588394,0.9705211878961996,0.8879563177029248,0.9521002225076732,0.9998436262040782,0.8879578135506461,0.9866019896631917,0.8923522567431754,0.8879560662934652
ILP_0.8,0.4,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9794934082215906,0.9657530991057465,0.8879563476334018,0.9447335452128065,0.9999556489391781,0.8879577692792339,0.9866019896631917,0.8923522567431754,0.8879560662934652
ILP_0.8,0.5,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9824790230346326,0.951132976728579,0.8879575635715067,0.9386281131378491,0.9982361449183335,0.8879577451167209,0.9902748901672771,0.7699229459783016,0.8879579070115236
ILP_0.8,0.6,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9809959632912474,0.9378989308982305,0.887957495848865,0.9332998102672011,0.9998918691802449,0.8879577249734842,0.9899908930827693,0.8358265241986172,0.8879579070115236
ILP_0.8,0.7,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9790266542176895,0.951064174736264,0.88795748067609,0.9285968630959326,0.9998802960892409,0.8879577138916763,0.9893336718520324,0.7136525864130807,0.8879579070115236
ILP_0.8,0.8,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9795221424913737,0.936243849553832,0.8879574826993593,0.9255547035097933,0.9999567475487505,0.8879577420956881,0.9899908930827693,0.8358265241986172,0.8879579070115236
ILP_0.8,0.9,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,0.9846221230215199,0.9905726285347566,0.8879579270906611,0.9764129096120996,0.9453950927815481,0.8879574088036521,0.922022372517544,0.9998377704832023,0.88795772295877,0.9885715585245575,0.7136525864130807,0.8879579070115236
ILP_1.0,0.1,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.4356058127041782,0.8879591131647359,1.0,0.4356058127041782,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.2,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.4478949535605403,0.8879591131647359,1.0,0.4478949535605403,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.3,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.4747213087037855,0.8879591131647359,1.0,0.4747213087037855,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.4,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.46935132010231406,0.8879591131647359,1.0,0.46935132010231406,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.5,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.4511335809377335,0.8879591131647359,1.0,0.4511335809377335,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.6,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.46695122084240037,0.8879591131647359,1.0,0.46695122084240037,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.7,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.45196351925478706,0.8879591131647359,1.0,0.45196351925478706,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.8,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.47042586320674973,0.8879591131647359,1.0,0.47042586320674973,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
ILP_1.0,0.9,gamma,"{'shape': 2, 'scale': 2}",51157.47667460066,DelayedEventLoggingPolluter,1.0,0.5095860905551373,0.8796989934874723,1.0,0.3037968280458341,0.8879591131647359,1.0,0.4501319829621995,0.8879591131647359,1.0,0.4501319829621995,0.8879591131647359,1.0,0.3037968280458341,0.8879591131647359
