algorithm,percentage,distribution,parameters,mean_delay,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
ALPHA,0.4,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.46504330729482113,0.7438055609591001,0.9734161246345028,0.747807569701047,0.9410043083678579,0.9734161246345028,0.465046176676041,0.2000012098463344,0.9734161246345028
ALPHA,0.5,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.5045345328679861,0.44718838500904046,0.9734161246345028,0.7462596864043823,0.9694501603651037,0.9734161246345028,0.5045345328679861,0.1428571428571429,0.9734161246345028
ALPHA,0.6,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.5039664441575098,0.4442666200147515,0.9734161246345028,0.7448537439360944,0.961363968688769,0.9734161246345028,0.5039664441575098,0.1428571428571429,0.9734161246345028
ALPHA,0.7,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.5049657070671306,0.5418755928987667,0.9734161246345028,0.7432687278801623,0.9630793807222787,0.9734161246345028,0.5049675975120658,0.15384606436107162,0.9734161246345028
ALPHA,0.8,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.46779735038356735,0.6774799859457703,0.9734161246345028,0.7418733041770054,0.9433398738640796,0.9734161246345028,0.4678095224022198,0.125,0.9734161246345028
ALPHA,0.9,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.7560157190948164,0.8275223941024646,0.9734161246345028,0.44044233452515286,0.6589096777018859,0.9734161246345028,0.7405967098182784,0.9648599795237108,0.9734161246345028,0.4404435727113092,0.16666603654456158,0.9734161246345028
ILP_0.8,0.1,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.9913220721866707,0.5746078385082791,0.9769076589842756,0.9782475324532559,0.7799658117865439,0.9769076589842756,0.9984838423886964,0.5145409529827067,0.9769076589842756
ILP_0.8,0.2,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.9852098526354349,0.7831779928669349,0.9769076589842756,0.96489128470964,0.7831779928669349,0.9769076589842756,0.998351982886583,0.7387309882416743,0.9769076589842756
ILP_0.8,0.3,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.994200134971132,0.7739427392219438,0.9769076589842756,0.9532117367509543,0.7501589703897867,0.9769076589842756,0.9985917655771767,0.6351972903313324,0.9769076589842756
ILP_0.8,0.4,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.991093238033009,0.8070976213439929,0.9769076589842756,0.9458939423955942,0.7530383171756078,0.9769076589842756,0.9983650535352032,0.6351972903313324,0.9769076589842756
