algorithm,percentage,alien_activity_nr,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm,target_precision,distribution,parameters,mean_delay,precise_activity_labels,new_activity_label
IM_0.0,0.9,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.45602984421484816,0.955315249772133,0.9941603828878721,0.5315301060323545,0.9538581773022782,1.0,0.3131550923641504,0.955315249772133,hour,,,,,
IM_0.0,0.1,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.45577915293923577,0.955315249772133,0.9940983204144975,0.5314649484573151,0.9538581773022782,1.0,0.3131550923641504,0.955315249772133,day,,,,,
IM_0.0,0.2,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.45664483624895613,0.955315249772133,0.9941067413981768,0.5326374417357032,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,day,,,,,
IM_0.0,0.3,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.46153167597192557,0.9566499669755683,0.9943107833062587,0.5402331272030845,0.9538581773022782,1.0,0.3131550923641504,0.9566499669755683,day,,,,,
IM_0.0,0.4,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.45343996444102297,0.9566499669755683,0.9941298935817305,0.5276555077263885,0.9538582551958511,1.0,0.3131550923641504,0.9566499669755683,day,,,,,
IM_0.0,0.5,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.463965610071827,0.955315249772133,0.9941878158383761,0.5441812793792551,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,day,,,,,
IM_0.0,0.6,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4534693038252011,0.9566499669755683,0.9941395163828781,0.5276449493274071,0.9538582032718014,1.0,0.3131550923641504,0.9566499669755683,day,,,,,
IM_0.0,0.7,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.45344382092944535,0.9566499669755683,0.9942185297443131,0.5274355871649549,0.9538582292363251,1.0,0.3131550923641504,0.9566499669755683,day,,,,,
IM_0.0,0.8,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.4616660585687111,0.9566499669755683,0.9940888891633244,0.5404313153031359,0.9538581773022782,1.0,0.3131550923641504,0.9566499669755683,day,,,,,
IM_0.0,0.9,,AggregatedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.4755180843815833,0.9538582551958511,1.0,0.46403997092565363,0.955315249772133,0.9941666955615998,0.5440045448171467,0.9538582032718014,1.0,0.3131550923641504,0.955315249772133,day,,,,,
