,Unnamed: 0,algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
40,40.0,IM_0.0,0.5,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.6125399081505354,0.9205923715296563,0.7697378664921432,0.6907464019105238,0.902551244165743,0.999913296840077,0.34576089771118723,0.7748235009199974
41,41.0,IM_0.0,0.6,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.6935701504170502,0.9300962055416988,0.7376969302905947,0.7255838639478394,0.9009394211491212,0.9999903645585018,0.3602974304201117,0.8091081875303802
42,42.0,IM_0.0,0.7,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.7149716234987922,0.902668907951976,0.7101403023974471,0.7281336282882506,0.8892519611244201,0.9999116258319456,0.35954492757242973,0.7893598100322223
43,43.0,IM_0.0,0.8,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.6843563279436206,0.9180615665606368,0.682029273488848,0.734796889463898,0.8875791926001964,0.9999284432548668,0.349790660926334,0.8129207355907603
44,44.0,IM_0.0,0.9,DeleteActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.7342040731374919,0.9121032705584564,0.656576958312142,0.7568903195841017,0.8700357427970117,0.9997168455311464,0.35158448780240054,0.8004314775850375
45,45.0,IM_0.0,1.0,ImpreciseActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5121873114361892,0.9153986399295818,1.0,0.5121873114361892,0.9153986399295818
46,46.0,IM_0.2,0.1,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8916925873759194,0.5913904424174009,0.873628660399738,0.9251383314940266,0.6444023812036864,0.9141587921275665,0.9012990987495102,0.44023749366004716,0.6028673409920833
47,47.0,IM_0.2,0.2,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.807509733209013,0.6169450891360103,0.8956717155048983,0.9251383314940266,0.6053297851886155,0.9141587921275665,0.7986465701701985,0.3091280512315266,0.627488912428859
48,48.0,IM_0.2,0.3,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8184881715526717,0.5226756505859531,0.8637912638292237,0.9251383314940266,0.5858887287719018,0.9141587921275665,0.8014738986208189,0.34770000349803154,0.5992995098728158
49,49.0,IM_0.2,0.4,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8083014818917772,0.5949235902547167,0.9160727246691424,0.9251383314940266,0.5566874957023381,0.9141587921275665,0.7941966398413416,0.3802453914555264,0.6594738242537972
50,50.0,IM_0.2,0.5,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.7984383244772216,0.6014046421004194,0.9116123219438215,0.9251383314940266,0.5379621679319426,0.9141587921275665,0.7333672273612953,0.3418416850563862,0.6483066037733745
51,51.0,IM_0.2,0.6,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8340572751598279,0.6170188883737583,0.9134583596501622,0.9251383314940266,0.5169578819538118,0.9141587921275665,0.7929629854431535,0.4039797559746672,0.6510774421016788
52,52.0,IM_0.2,0.7,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8374229146611439,0.6114836880809081,0.9377773660907567,0.9251383314940266,0.4949961097764387,0.9141587921275665,0.7629574075813902,0.3435511557695439,0.6706437135080577
53,53.0,IM_0.2,0.8,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.828527162547984,0.5817485852403294,0.9228888410948284,0.9251383314940266,0.47834333066180307,0.9141587921275665,0.7386076691143935,0.3671300690053012,0.6457951550465795
54,54.0,IM_0.2,0.9,InsertAlienActivityPolluter,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.8375378976392649,0.5713174282352627,0.9260699638195871,0.9251383314940266,0.45842956977456617,0.9141587921275665,0.7378220827793918,0.36878240136338364,0.6507752922612398
55,55.0,IM_0.2,0.1,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.995202156818922,0.6144796313506344,0.9110552627210724,0.9223093476892332,0.694220415910927,0.9141607430661851,0.9971843272494263,0.581889114074631,0.9110411211913887
56,56.0,IM_0.2,0.2,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9982046914493431,0.6523726438115232,0.9195209181494527,0.9223650207844082,0.6949791481434069,0.9141599234965337,0.9982048076784641,0.6010842865557465,0.9195197628172433
57,57.0,IM_0.2,0.3,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9982041994489305,0.6491583980582013,0.9195222756772804,0.9223851523997317,0.6918054347445511,0.9141612946650554,0.9982048076784641,0.6010842865557465,0.9195197628172433
58,58.0,IM_0.2,0.4,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.998205144303528,0.6505484691294914,0.9195217349897761,0.9223170470161269,0.6943549618483293,0.9141607451553067,0.9982048076784641,0.6010842865557465,0.9195197628172433
